,from,to,weight
548,G22,G24,60
549,G24,G26,150
550,G26,G28,60
551,G28,G29,150
552,G29,G30,90
553,G30,G31,60
554,G31,G32,90
555,G32,G33,90
556,G33,G34,60
557,G34,G35,90
558,G35,G36,90
559,G36,A42,90
560,A42,F20,90
561,G06,J12,240
562,J12,J13,90
563,J13,J14,120
564,J14,J15,90
565,J15,J16,90
566,J16,J17,90
567,J17,J19,90
568,J19,J20,90
569,J20,J21,120
570,J21,J22,60
571,J22,J23,90
572,J23,J24,90
573,J24,J27,120
574,J27,J28,90
575,J28,J29,90
576,J29,J30,90
577,J30,J31,90
578,J31,M11,90
579,M11,M12,90
580,M12,M13,90
581,M13,M14,60
582,M14,M16,60
583,M16,M18,450
584,M18,M19,90
585,M19,M20,90
586,M20,M21,90
587,M21,M22,90
588,M22,M23,90
589,M11,M16,240
590,G06,J13,300
591,J13,J15,180
592,J16,J19,150
593,J20,J22,150
594,J22,J24,150
595,J27,J29,150
596,J29,J31,150
597,J12,J14,180
598,J15,J17,180
599,J17,J20,150
600,J21,J23,150
601,J28,J30,150
602,J30,M11,180
603,L29,L28,90
604,L28,L27,120
605,L27,L26,90
606,L26,L25,90
607,L25,L24,90
608,L24,L22,90
609,L22,L21,60
610,L21,L20,90
611,L20,L19,120
612,L19,L17,150
613,L17,L16,90
614,L16,L15,90
615,L15,L14,120
616,L14,L13,90
617,L13,L12,60
618,L12,L11,90
619,L11,L10,120
620,L10,L08,90
621,L08,L06,240
622,L06,L05,60
623,L05,L03,240
624,L03,L02,90
625,L02,L01,60
626,M11,M10,150
627,M10,M09,90
628,M09,M08,120
629,M08,M06,90
630,M06,M05,90
631,M05,M04,120
632,M04,M01,120
633,F12,D15,120
634,D21,M18,180
635,R01,R03,90
636,R03,R04,60
637,R04,R05,90
638,R05,R06,120
639,R06,R08,60
640,R08,R09,120
641,R09,R11,270
642,R11,R13,90
643,R13,R14,150
644,R14,R15,90
645,R15,R16,90
646,R16,R17,90
647,R17,R18,60
648,R18,R19,60
649,R19,R20,90
650,R20,R21,90
651,R21,R22,90
652,R22,R23,90
653,R23,R24,150
654,R24,R25,120
655,R25,R26,60
656,R26,R27,120
657,R27,R28,210
658,R28,R29,120
659,R29,R30,300
660,R36,R39,120
661,R39,R40,90
662,R40,R41,90
663,R41,N02,180
664,N02,N03,90
665,N03,N04,120
666,N04,N05,90
667,N05,N06,90
668,N06,N07,90
669,N07,N08,120
670,N08,N09,120
671,N09,N10,300
672,N10,D43,240
673,R22,Q01,120
674,Q01,R31,660
675,R36,R41,210
676,R30,Q01,480
677,R17,R20,150
678,R20,Q01,240
679,Q05,Q04,120
680,Q04,Q03,150
681,Q03,B08,120
682,B08,R14,180
683,R14,R16,180
684,D26,D27,90
685,D27,D28,90
686,D28,D29,90
687,D29,D30,30
688,D30,D31,90
689,D31,D32,90
690,D32,D33,60
691,D33,D34,120
692,D34,D35,120
693,D35,D37,150
694,D37,D38,60
695,D38,D39,150
696,D40,D41,120
697,D41,D42,120
698,G21,R11,330
699,R41,R42,120
700,R42,R43,60
701,R43,R44,300
702,R44,R45,120
703,S31,S30,180
704,S30,S29,120
705,S29,S28,120
706,S28,S27,180
707,S27,S26,120
708,S26,S25,120
709,S25,S24,120
710,S24,S23,60
711,S23,S22,120
712,S22,S21,120
713,S21,S20,120
714,S20,S19,120
715,S19,S18,120
716,S18,S17,120
717,S17,S16,120
718,S16,S15,120
719,S15,S14,120
720,S14,S13,120
721,S13,S11,120
722,S11,S09,180
723,S22,S31,780
724,S31,S19,960
